TripID,Date,From_Station,To_Station,Distance_km,Fare,Cost_per_passenger,Passengers,Ticket_Type,Remarks
59771,2022-05-08,Inderlok,Kashmere Gate,12.94,77.99,18.27,13.0,Smart Card,maintenance
21363,2023-01-12,Model Town,Dilshad Garden,2.33,35.89,83.71,15.0,Tourist Card,maintenance
127325,2023-07-13,Kashmere Gate,Netaji Subhash Place,5.5600000000000005,64.35,43.7,9.0,Single,off-peak
140510,2022-11-10,Chandni Chowk,Hauz Khas,4.02,144.13,14.98,27.0,,maintenance
144298,2022-11-06,Rajiv Chowk,Kalkaji Mandir,9.66,104.96,83.84,23.0,Single,off-peak
96371,2024-07-10,Kalkaji Mandir,Shivaji Park,3.91,29.2,30.64,22.0,Tourist Card,
49743,2022-09-02,Mandi House,Jasola Vihar,1.49,175.32,33.45,14.0,Tourist Card,peak
47390,2023-12-07,Mandi House,Central Secretariat,7.38,167.59,50.69,18.0,Tourist Card,festival
58379,2024-05-05,AIIMS,Chandni Chowk,2.5700000000000003,125.25,81.71,24.0,Single,weekend
69048,2022-07-05,New Delhi,Jasola Vihar,7.58,151.39,37.76,19.0,Tourist Card,peak
41981,2023-03-19,New Delhi,Model Town,1.04,114.49,107.94,16.0,Smart Card,festival
88783,2022-07-28,Rajiv Chowk,Kirti Nagar,5.84,66.97,114.12,24.0,Tourist Card,weekend
70772,2023-02-16,Rajiv Chowk,New Delhi,2.71,157.05,93.1,21.0,Tourist Card,weekend
20217,2024-04-06,Rajiv Chowk,Laxmi Nagar,1.54,162.06,64.45,11.0,Tourist Card,festival
80725,2024-09-11,Rajouri Garden,Barakhamba Road,5.14,59.77,81.08,26.0,Smart Card,maintenance
96907,2022-07-17,Rajiv Chowk,Kalkaji Mandir,1.51,136.28,110.94,21.0,Tourist Card,off-peak
81422,2024-05-06,Rajiv Chowk,Janakpuri West,4.76,82.87,33.01,22.0,Smart Card,maintenance
109510,2023-02-06,Laxmi Nagar,Netaji Subhash Place,2.54,178.92,109.15,26.0,Smart Card,
1877,2023-10-09,Noida City Centre,Punjabi Bagh,5.54,31.78,68.13,15.0,Tourist Card,peak
46384,2024-08-04,Rajouri Garden,Hauz Khas,2.98,195.57,50.13,19.0,Single,maintenance
7488,2024-11-18,New Delhi,Kalkaji Mandir,13.19,38.99,57.61,15.0,Smart Card,maintenance
18049,2022-02-03,Model Town,Kalkaji Mandir,3.09,60.74,63.6,25.0,Tourist Card,festival
29282,2022-10-20,Noida City Centre,Mandi House,6.2,78.87,36.76,25.0,Tourist Card,maintenance
51011,2024-10-09,Janakpuri West,Kalkaji Mandir,1.0,67.8,53.12,25.0,Smart Card,
76505,2022-11-11,Noida City Centre,Chandni Chowk,4.0,14.2,118.29,18.0,Single,festival
134481,2023-12-11,Mandi House,Barakhamba Road,9.7,184.96,58.18,28.0,Tourist Card,maintenance
100165,2023-08-10,Central Secretariat,Shivaji Park,16.02,136.13,24.24,11.0,Tourist Card,weekend
25706,2023-08-12,Rajiv Chowk,Old Delhi,8.1,44.74,21.62,16.0,Tourist Card,
96399,2024-06-01,Janakpuri West,Shivaji Park,1.63,42.97,32.26,20.0,Tourist Card,maintenance
33117,2022-05-10,Inderlok,Punjabi Bagh,18.98,126.38,71.95,15.0,Smart Card,weekend
924,2024-05-25,Rajiv Chowk,Kirti Nagar,1.51,124.59,6.49,18.0,Tourist Card,weekend
74297,2022-01-09,Dilshad Garden,Chandni Chowk,1.27,162.81,26.6,16.0,Tourist Card,peak
103669,2023-10-31,Rajiv Chowk,Noida City Centre,9.82,176.13,43.22,17.0,Tourist Card,festival
100419,2022-06-08,Hauz Khas,Pragati Maidan,0.88,135.12,21.57,15.0,Tourist Card,
99126,2024-05-27,New Delhi,Central Secretariat,9.24,185.42,22.51,21.0,Single,peak
39798,2024-02-19,Rajiv Chowk,Inderlok,1.02,147.91,82.67,20.0,Tourist Card,peak
110749,2023-09-12,New Delhi,Hauz Khas,14.67,182.91,96.78,17.0,Single,
29475,2023-06-26,Mandi House,Laxmi Nagar,0.6000000000000001,76.47,106.59,16.0,Smart Card,
62005,2023-01-18,Rajiv Chowk,Janakpuri West,6.78,161.02,60.57,23.0,Single,off-peak
56936,2024-07-30,Rajiv Chowk,Hauz Khas,0.99,26.95,56.5,13.0,Tourist Card,off-peak
24370,2023-09-27,Jasola Vihar,Shivaji Park,1.77,182.84,19.75,16.0,Tourist Card,festival
37241,2024-09-29,new delhi,Model Town,4.17,161.38,57.22,19.0,Tourist Card,off-peak
49307,2023-07-31,AIIMS,Shivaji Park,4.63,72.01,62.15,18.0,Single,weekend
90612,2024-01-24,Laxmi Nagar,Barakhamba Road,5.65,150.46,69.77,20.0,Smart Card,festival
107702,2023-06-07,New Delhi,Janakpuri West,1.63,52.35,24.42,20.0,Tourist Card,
89673,2024-04-01,Rajiv Chowk,Pragati Maidan,5.71,34.65,111.5,15.0,Single,festival
95329,2023-05-29,Noida City Centre,Jasola Vihar,1.06,92.35,66.23,23.0,Smart Card,
32514,2023-02-05,Kashmere Gate,Pragati Maidan,9.06,108.55,42.8,26.0,Tourist Card,maintenance
137403,2024-09-22,Laxmi Nagar,Jasola Vihar,6.31,57.52,73.83,27.0,Smart Card,festival
108661,2024-05-19,Mandi House,Janakpuri West,3.5,169.1,39.27,19.0,Single,festival
117163,2023-04-16,Rajiv Chowk,Kashmere Gate,3.01,51.86,56.08,24.0,Smart Card,festival
34128,2022-05-25,Mandi House,Dilshad Garden,0.89,122.14,50.9,11.0,Smart Card,festival
75599,2023-01-07,Dilshad Garden,Jasola Vihar,6.86,121.6,65.33,14.0,Single,
94661,2023-06-15,Jasola Vihar,Janakpuri West,5.72,179.63,73.29,22.0,Tourist Card,maintenance
15667,2023-08-19,Hauz Khas,Rajiv Chowk,10.82,152.38,111.36,21.0,Single,festival
102641,2024-01-08,Rajiv Chowk,Jasola Vihar,1.4,145.89,81.22,19.0,Single,weekend
72836,2023-01-21,Rajiv Chowk,Barakhamba Road,8.08,50.11,79.86,16.0,Tourist Card,festival
58111,2023-03-05,Noida City Centre,Central Secretariat,5.83,131.49,60.0,17.0,Tourist Card,festival
41679,2022-06-30,Kashmere Gate,Barakhamba Road,11.1,190.69,101.44,24.0,Single,off-peak
111764,2023-06-24,Laxmi Nagar,Mandi House,9.7,70.24,47.63,23.0,Tourist Card,peak
95771,2023-02-01,Noida City Centre,Rajouri Garden,0.91,17.99,19.3,13.0,Tourist Card,weekend
142843,2023-12-30,Kalkaji Mandir,Janakpuri West,3.42,168.58,30.6,24.0,Single,
82450,2024-07-18,Central Secretariat,Kirti Nagar,13.75,29.47,62.05,20.0,Tourist Card,weekend
113687,2024-04-04,Mandi House,Old Delhi,7.13,111.57,49.8,31.0,Single,peak
42247,2023-09-25,Mandi House,Rajiv Chowk,0.96,167.81,93.28,13.0,Smart Card,peak
84726,2024-02-09,Noida City Centre,Pragati Maidan,3.23,157.11,107.32,26.0,Tourist Card,weekend
27727,2022-11-03,Jasola Vihar,Rajiv Chowk,2.83,15.82,62.86,18.0,Smart Card,maintenance
122224,2024-11-27,Rajiv Chowk,Pragati Maidan,1.24,169.88,80.35,17.0,Tourist Card,maintenance
40010,2022-12-05,New Delhi,Noida City Centre,0.63,131.06,104.38,14.0,Smart Card,maintenance
66017,2022-07-25,Mandi House,Netaji Subhash Place,4.15,38.87,112.43,22.0,Tourist Card,weekend
50464,2024-06-07,Noida City Centre,Janakpuri West,4.31,87.49,7.8100000000000005,17.0,Tourist Card,
29065,2023-03-07,New Delhi,Netaji Subhash Place,2.16,90.06,42.49,12.0,Smart Card,weekend
34966,2024-11-09,Kalkaji Mandir,Jasola Vihar,1.26,129.01,103.45,17.0,Smart Card,off-peak
16623,2023-04-09,Model Town,Punjabi Bagh,4.8,90.49,7.86,26.0,Smart Card,maintenance
119291,2022-12-01,Central Secretariat,Kalkaji Mandir,8.38,170.24,89.74,26.0,Tourist Card,peak
86409,2024-12-14,Model Town,AIIMS,0.72,192.6,105.61,20.0,Single,festival
124009,2024-12-27,Noida City Centre,Kashmere Gate,3.31,185.75,8.16,22.0,Single,
85461,2022-10-21,AIIMS,Laxmi Nagar,5.85,40.3,58.28,24.0,Tourist Card,
34258,2023-02-13,Janakpuri West,Rajouri Garden,3.29,43.08,90.13,21.0,Tourist Card,
50692,2022-01-31,Noida City Centre,Punjabi Bagh,1.1,158.45,17.02,14.0,Tourist Card,maintenance
10673,2022-08-13,Rajiv Chowk,Chandni Chowk,5.38,199.83,6.75,28.0,Smart Card,maintenance
144167,2022-11-05,AIIMS,Kirti Nagar,5.47,132.79,12.09,22.0,Single,
7322,2023-08-06,Dilshad Garden,Kalkaji Mandir,2.03,128.58,97.65,22.0,Tourist Card,peak
15111,2024-04-18,Chandni Chowk,Janakpuri West,12.13,183.45,101.06,22.0,Tourist Card,festival
129697,2024-09-19,Rajiv Chowk,Jasola Vihar,5.11,127.95,49.57,13.0,Tourist Card,maintenance
83565,2022-02-09,Inderlok,Chandni Chowk,2.42,49.64,68.54,19.0,Single,festival
119867,2023-02-27,Rajiv Chowk,Rajiv Chowk,8.16,98.78,89.39,26.0,Tourist Card,off-peak
133770,2024-03-06,Kashmere Gate,Shivaji Park,4.01,196.0,11.6,21.0,Smart Card,
146286,2024-11-26,Hauz Khas,Kalkaji Mandir,10.64,127.99,109.86,22.0,Single,off-peak
84222,2023-04-07,Kashmere Gate,Old Delhi,5.98,90.37,79.09,20.0,Tourist Card,festival
118,2022-07-24,AIIMS,Kashmere Gate,3.46,61.14,92.04,21.0,Tourist Card,peak
71202,2023-01-28,kashmere gate,Shivaji Park,3.27,84.95,47.51,21.0,Single,weekend
84950,2022-06-06,Rajiv Chowk,Model Town,0.55,169.45,28.18,16.0,Tourist Card,peak
52889,2024-01-31,central secretariat,New Delhi,26.05,14.59,66.41,22.0,Smart Card,off-peak
13859,2023-07-29,Chandni Chowk,AIIMS,1.06,193.26,112.8,22.0,,peak
136207,2022-06-12,Rajouri Garden,Chandni Chowk,4.04,95.71,22.34,16.0,,off-peak
22935,2023-11-08,Noida City Centre,Rajouri Garden,5.4,134.64,28.36,23.0,Tourist Card,festival
133891,2023-01-24,Noida City Centre,Punjabi Bagh,9.01,40.85,85.3,22.0,Tourist Card,off-peak
56198,2023-12-17,Kashmere Gate,Kirti Nagar,1.22,193.09,29.88,15.0,Single,off-peak
130665,2022-10-11,Jasola Vihar,Chandni Chowk,11.94,124.48,75.62,16.0,Single,
87519,2022-03-27,Janakpuri West,Kirti Nagar,7.51,130.89,75.05,18.0,Smart Card,off-peak
16603,2024-01-19,Rajiv Chowk,Dilshad Garden,9.78,84.59,86.89,12.0,Tourist Card,maintenance
105029,2024-09-28,Mandi House,Mandi House,7.0,150.89,79.82,22.0,Tourist Card,
13217,2022-12-10,Rajiv Chowk,Kashmere Gate,9.08,138.15,38.38,16.0,Smart Card,peak
38883,2024-05-14,Rajiv Chowk,Laxmi Nagar,11.04,150.69,28.81,21.0,Smart Card,peak
73884,2022-10-15,Rajiv Chowk,Kirti Nagar,8.22,44.63,96.72,16.0,Single,festival
17654,2024-07-03,Rajiv Chowk,Noida City Centre,0.65,168.45,99.67,20.0,Tourist Card,peak
142822,2023-11-18,Rajiv Chowk,Kalkaji Mandir,4.18,135.7,6.28,20.0,Tourist Card,weekend
84865,2024-01-20,Rajouri Garden,Dilshad Garden,1.76,158.65,100.31,14.0,Tourist Card,weekend
117264,2023-11-23,Kalkaji Mandir,Old Delhi,8.12,148.49,90.07,20.0,Single,peak
34411,2023-11-18,Kashmere Gate,Rajiv Chowk,1.67,190.07,100.65,13.0,Tourist Card,
117837,2024-07-19,Kalkaji Mandir,Janakpuri West,6.65,20.69,111.66,18.0,Smart Card,maintenance
7417,2022-11-30,Laxmi Nagar,Kashmere Gate,10.69,53.44,22.08,18.0,,
17710,2022-04-21,Mandi House,Mandi House,9.16,175.99,48.65,8.0,Single,off-peak
136253,2022-04-13,Rajiv Chowk,Inderlok,4.01,27.29,45.06,18.0,Smart Card,weekend
26211,2024-05-12,Mandi House,Noida City Centre,12.21,55.87,68.75,16.0,Tourist Card,
39345,2022-03-25,New Delhi,Old Delhi,3.21,113.92,107.0,19.0,Tourist Card,off-peak
116700,2023-04-29,New Delhi,Kirti Nagar,3.81,35.54,13.54,20.0,Tourist Card,weekend
95048,2023-09-18,Noida City Centre,Rajouri Garden,3.47,48.37,77.96,15.0,Single,peak
111110,2024-05-28,Rajiv Chowk,Netaji Subhash Place,1.74,24.46,7.08,26.0,Single,off-peak
51157,2024-03-07,Inderlok,Jasola Vihar,10.0,168.33,98.68,32.0,Tourist Card,peak
129331,2023-05-30,Chandni Chowk,Kashmere Gate,1.94,50.15,27.09,21.0,Tourist Card,
67234,2022-05-16,Noida City Centre,Dilshad Garden,2.61,21.52,29.14,34.0,Tourist Card,weekend
115062,2023-01-11,Noida City Centre,Rajouri Garden,2.49,160.42,29.97,18.0,Tourist Card,off-peak
17170,2022-10-24,Rajiv Chowk,Hauz Khas,1.05,137.78,118.61,26.0,Smart Card,
125745,2024-02-08,Noida City Centre,Shivaji Park,1.07,27.16,75.13,25.0,Tourist Card,
46673,2022-01-20,Noida City Centre,Shivaji Park,6.86,88.46,43.89,22.0,Tourist Card,
149918,2022-07-14,Inderlok,Old Delhi,6.23,88.8,82.85,18.0,Tourist Card,off-peak
102439,2024-05-27,Mandi House,Kalkaji Mandir,3.73,163.86,82.39,27.0,Tourist Card,festival
4891,2022-12-13,AIIMS,Old Delhi,3.64,49.79,59.36,24.0,Tourist Card,maintenance
146811,2023-01-30,Dilshad Garden,New Delhi,1.07,153.46,69.44,20.0,Single,
10141,2022-02-04,LAXMI NAGAR,Dilshad Garden,2.7,59.42,89.7,22.0,Smart Card,
111238,2024-04-09,Noida City Centre,Jasola Vihar,3.9699999999999998,187.59,49.74,14.0,Tourist Card,festival
117339,2024-09-24,Jasola Vihar,Janakpuri West,1.53,54.81,83.85,15.0,Single,maintenance
88469,2024-11-27,Hauz Khas,Chandni Chowk,5.52,108.79,22.51,16.0,Single,maintenance
116628,2024-06-12,Janakpuri West,Barakhamba Road,5.89,163.85,33.32,21.0,Tourist Card,festival
113106,2023-09-11,Noida City Centre,Rajiv Chowk,9.09,183.39,109.81,12.0,Tourist Card,weekend
57839,2022-08-24,Rajiv Chowk,Old Delhi,8.44,130.53,107.3,15.0,Single,
42458,2023-04-14,Noida City Centre,Janakpuri West,1.55,142.31,20.99,19.0,Smart Card,maintenance
57005,2024-11-04,Dilshad Garden,Jasola Vihar,4.53,198.09,28.94,16.0,Single,peak
27965,2023-05-31,Model Town,Rajiv Chowk,3.21,104.8,74.85,33.0,Single,maintenance
141962,2023-01-15,Rajouri Garden,Kirti Nagar,3.03,104.92,51.99,22.0,Smart Card,maintenance
29910,2022-09-08,Inderlok,Hauz Khas,6.14,158.34,48.04,21.0,Tourist Card,maintenance
125078,2023-02-26,Noida City Centre,Mandi House,4.11,120.18,101.74,27.0,Tourist Card,
51213,2024-10-20,Dilshad Garden,New Delhi,1.9500000000000002,129.57,28.72,20.0,Tourist Card,off-peak
109729,2024-08-16,central secretariat,Rajouri Garden,3.75,196.18,55.38,23.0,Tourist Card,festival
63781,2023-05-24,Mandi House,Chandni Chowk,1.75,29.18,98.17,35.0,Smart Card,maintenance
8342,2023-08-31,Noida City Centre,Chandni Chowk,0.7000000000000001,172.88,101.13,21.0,Single,peak
134181,2023-02-10,Dilshad Garden,Mandi House,6.14,130.87,117.2,19.0,Smart Card,maintenance
140419,2024-08-04,Mandi House,Kalkaji Mandir,1.58,145.99,83.36,18.0,Tourist Card,weekend
95547,2024-06-13,Inderlok,AIIMS,6.83,134.82,82.44,13.0,Tourist Card,off-peak
119333,2022-07-16,Mandi House,Pragati Maidan,2.91,140.06,115.4,23.0,Smart Card,peak
18608,2022-07-07,Mandi House,Mandi House,1.72,109.35,104.19,22.0,Tourist Card,off-peak
148774,2024-02-26,hauz khas,Kashmere Gate,8.42,40.76,111.74,23.0,Tourist Card,peak
31588,2024-08-06,Central Secretariat,Janakpuri West,1.9500000000000002,11.31,68.85,13.0,Tourist Card,off-peak
49188,2023-04-21,AIIMS,Old Delhi,9.54,63.1,85.24,17.0,Tourist Card,peak
24258,2022-04-03,Mandi House,Rajiv Chowk,2.31,197.57,17.36,31.0,Single,festival
82973,2023-10-24,Jasola Vihar,Laxmi Nagar,3.0,136.88,52.3,11.0,Single,festival
140114,2024-01-19,Model Town,Mandi House,6.73,131.8,28.14,27.0,Tourist Card,peak
41592,2022-10-18,Mandi House,Noida City Centre,9.87,46.64,72.97,19.0,Tourist Card,weekend
25246,2022-09-23,Central Secretariat,Noida City Centre,1.8399999999999999,154.91,87.39,27.0,Tourist Card,
8396,2024-02-10,Rajouri Garden,New Delhi,0.8200000000000001,116.0,35.6,20.0,Tourist Card,off-peak
29319,2022-01-23,New Delhi,AIIMS,16.21,130.25,59.1,21.0,Tourist Card,
7704,2023-01-25,Rajiv Chowk,Noida City Centre,1.57,44.91,49.02,20.0,Smart Card,
69358,2024-03-18,Chandni Chowk,Old Delhi,1.19,176.93,92.41,17.0,Tourist Card,peak
19079,2022-04-19,Model Town,Barakhamba Road,2.65,185.74,108.86,12.0,Tourist Card,festival
55709,2023-10-30,Kashmere Gate,Noida City Centre,5.53,65.96,49.46,18.0,Tourist Card,
147422,2023-05-17,Inderlok,Jasola Vihar,8.0,113.12,93.73,25.0,Tourist Card,maintenance
104159,2022-04-10,Inderlok,Old Delhi,1.01,168.06,36.3,19.0,Tourist Card,maintenance
108569,2023-01-31,Inderlok,Chandni Chowk,3.89,188.44,76.68,13.0,Single,weekend
8960,2024-07-23,Mandi House,Shivaji Park,3.67,199.77,110.02,11.0,Tourist Card,festival
73454,2023-08-05,New Delhi,Pragati Maidan,1.75,14.71,6.05,27.0,Tourist Card,off-peak
126236,2024-11-04,New Delhi,Punjabi Bagh,3.99,77.26,46.13,24.0,Smart Card,maintenance
36738,2022-12-10,New Delhi,Rajiv Chowk,2.32,143.86,62.86,26.0,Tourist Card,
